,route_id,ROUTE,stop_order_on_route,ROUTE_norm_explicit,ROUTE_norm_expanded,stop_id_mapped,match_method,matched_stop_name_in_gdf,fuzz_ratio_score,fuzz_wratio_score
151,407,Headford Rd (Church),10,headford rd (church),headford road church,8460B5238001,"Exact Expanded Name (Multiple GDF matches, took first)",Headford Road Church,100.0,100.0
152,407,Headford Rd (Sceilig Ard),11,headford rd (sceilig ard),headford road sceilig ard,8460B5237101,Fuzzy Expanded Name (WRatio: 90),Headford Road,68.0,90.0
153,407,Bothair an Choiste (Op Baile Choiste),12,bothair an choiste (op baile choiste),bothair an choiste op baile choiste,8460B5304201,Token Overlap Match (Score: 1),An Luasán,,
154,407,Bothair an Choiste (Murphys Centra),13,bothair an choiste (murphys centra),bothair an choiste murphys centra,8460B5304201,Token Overlap Match (Score: 1),An Luasán,,
155,407,Bothair an Choiste (Cluain Riocard),14,bothair an choiste (cluain riocard),bothair an choiste cluain riocard,8460B5238501,Fuzzy Expanded Name (WRatio: 90),Cluain Riocard,60.0,90.0
156,407,Bothair an Choiste (Opp Maigh Riocard),15,bothair an choiste (opp maigh riocard),bothair an choiste opposite maigh riocard,8460B5238601,Fuzzy Expanded Name (WRatio: 90),Maigh Riocard,48.0,90.0
157,409,Eyre Square East (Stop No 8),0,eyre square east (stop no 8),eyre square east stop no 8,8460B522331,Fuzzy Expanded Name (WRatio: 90),Eyre Square,59.0,90.0
159,409,College Rd Galway (City Hall),2,college rd galway (city hall),college road galway city hall,8460B5232301,Fuzzy Expanded Name (WRatio: 90),College Road,59.0,90.0
160,409,College Rd Galway (Sportsground),3,college rd galway (sportsground),college road galway sportsground,8460B5232301,Fuzzy Expanded Name (WRatio: 90),College Road,55.0,90.0
161,409,College Rd Galway (Loyola Park),4,college rd galway (loyola park),college road galway loyola park,8460B5236701,Fuzzy Expanded Name (WRatio: 90),Loyola Park,52.0,90.0
162,409,Dublin Rd (G Hotel),5,dublin rd (g hotel),dublin road g hotel,8460B5226901,Token Overlap Match (Score: 2),The G Hotel,,
163,409,Dublin Rd (Opp Renmore Park),6,dublin rd (opp renmore park),dublin road opposite renmore park,8460B5227001,Fuzzy Expanded Name (WRatio: 90),Renmore Park,53.0,90.0
164,409,Dublin Rd (Glenina Heights),7,dublin rd (glenina heights),dublin road glenina heights,8460B5243501,Fuzzy Expanded Name (WRatio: 90),Glenina Heights,71.0,90.0
165,409,Dublin Rd (Opp Dawn Dairies),8,dublin rd (opp dawn dairies),dublin road opposite dawn dairies,8460B5227901,Fuzzy Expanded Name (WRatio: 90),Dawn Dairies,53.0,90.0
166,409,ATU Galway,9,atu galway,atu galway,8460B5236501,Fuzzy Expanded Name (WRatio: 90),ATU Galway Cluain Mhuire,59.0,90.0
167,409,Dublin Rd (Opp Galway Crystal Jctn),10,dublin rd (opp galway crystal jctn),dublin road opposite galway crystal jctn,8460B5241501,Fuzzy Expanded Name (WRatio: 90),Galway Crystal,52.0,90.0
168,409,Dublin Rd (Opp Castlegar Complex),11,dublin rd (opp castlegar complex),dublin road opposite castlegar complex,8460B5223701,Token Overlap Match (Score: 1),Barna Road,,
169,409,Doughiska Rd (An Fiodan),12,doughiska rd (an fiodan),doughiska road an fiodan,8460B5241901,Fuzzy Expanded Name (WRatio: 90),An Fiodan,55.0,90.0
170,409,Doughiska Rd (Amber Hse Hotel),13,doughiska rd (amber hse hotel),doughiska road amber hse hotel,8460B5242601,Fuzzy Expanded Name (WRatio: 90),Doughiska Road,64.0,90.0
171,409,Doughiska Rd (Merlin Woods Prm Sch),14,doughiska rd (merlin woods prm sch),doughiska road merlin woods prm sch,8460B5242601,Fuzzy Expanded Name (WRatio: 90),Doughiska Road,57.0,90.0
172,409,Doughiska Rd (Nestors Centra),15,doughiska rd (nestors centra),doughiska road nestors centra,8460B5242601,Fuzzy Expanded Name (WRatio: 90),Doughiska Road,65.0,90.0
