,building_name,osm_id,building_type,latitude,longitude
B186,Eden House,185315951,building,53.28078177638792,-9.004010162799705
B187,Education Building (Block D),57378372,building,53.27823828162068,-9.060594455655833
B188,Edward Square,162462592,building,53.27312651761083,-9.050628561107109
B189,Eglinton Court,162456575,building,53.2748036772562,-9.052313905752827
B190,Eglinton Hotel,211765415,building,53.2590422308109,-9.07868684554084
B191,Eglinton House,211754712,building,53.27027338432746,-9.057300165512787
B192,Emergency Department,165064627,building,53.276827331677936,-9.065508512910354
B193,Emerson Court,163500197,building,53.26229261521234,-9.07619580682281
B194,Enable Ireland,165022793,building,53.27942290449986,-9.065929595599766
B195,Energy Center,211690763,building,53.28458751530653,-9.064346071337882
B196,Entrance A,184430687,building,53.29841723218681,-8.993839407780369
B197,Entrance B,184426281,building,53.29878995,-8.99776855
B198,Entrance C,178762694,building,53.29712170015179,-8.996145162705634
B199,Estoria House,211854862,building,53.26766218609747,-9.066030979133977
B200,Eyre House,162468373,building,53.273700010475466,-9.049612074148744
B201,Eyre Square Centre,162462593,building,53.273044724439586,-9.04982782967023
B202,Failte House,185315947,building,53.280251521338755,-9.006255390030198
B203,Fairgreen Homeless Men's Hostel,441065618,building,53.27383470015243,-9.045358226984334
B204,Fairgreen House,164863674,building,53.274143444920256,-9.045942249108903
B205,Fairhill House,211918950,building,53.267872800000006,-9.057231199999999
B206,Fannin Healthcare,78247329,building,53.2899154624546,-9.003443795301756
B207,Farrells Garage,290091850,building,53.27585330728048,-9.051578725174954
B208,Finance Building,160607708,building,53.27749990459348,-8.992083695553806
B209,"Financial Systems, Internal Audit",160607704,building,53.278057258538325,-8.991564540465465
B210,Fishery Watchtower,152105443,building,53.270212717307075,-9.055913395026826
B211,Five Crown Square,16254533,building,53.28754528958515,-9.020446133819943
B212,Fort Lorenzo House,288863112,building,53.268675601471834,-9.08929447914886
B213,Four Crown Square,16254534,building,53.2873235946376,-9.021244565226814
B214,From Here | Student Living,954658261,building,53.27452031507706,-9.045096726145713
B215,Furey's Apartments,164649886,building,53.26982984893997,-9.060564427653192
B216,G&P Crash Repairs,487452284,building,53.28600413427265,-9.036883491691796
B217,GCI House,116700025,building,53.26297269009643,-9.071384793817291
B218,GMIT Sports Centre & Gym,210429373,building,53.278187763428,-9.012530778501732
B219,GRETB Training Centre,161603109,building,53.28642206306828,-9.025054679615183
B220,Galway Atlantaquaria,141749934,building,53.26001712709342,-9.074064293842298
B221,Galway Autopoint,200192461,building,53.28492156667464,-9.043769154437248
B222,Galway Bay Apartments,195589168,building,53.262196207198286,-9.072876195834615
B223,Galway Bay Sea View Apartments,163496146,building,53.25857272917732,-9.079173985468683
B224,Galway Bay Seafoods Factory,150786624,building,53.26968777672523,-9.046383314159918
B225,Galway Bay Seafoods Shop,150786614,building,53.26939352215275,-9.046162323743175
B226,Galway Cathedral,150786580,building,53.275190672101715,-9.057613122255706
B227,Galway Courthouse,142236132,building,53.27588056976489,-9.054895471705272
B228,Galway Crystal,25965036,building,53.27378729936953,-8.996553766291374
B229,Galway Football Association,169469250,building,53.285084755654324,-9.057006865699588
B230,Galway Lifeboat Station,160636272,building,53.26914367496515,-9.046857322491675
B231,Galway Mails Centre,161600393,building,53.29830209249254,-9.006908301029805
B232,Galway Ocean Sports Club,150786633,building,53.26768509948206,-9.042209084558078
B233,Galway PCCC,165020896,building,53.27471248197425,-9.065638784866872
B234,"Galway Primary, Community and Continuing Care",165027238,building,53.274764171764815,-9.064255019040973
B235,Galway Rowing Club,331925420,building,53.27697127873584,-9.054341135211121
B236,Galway United Football Club,175499306,building,53.2849575,-9.05717295
B237,Gate Lodge,165044131,building,53.276257827051595,-9.064042163765016
B238,Gate Lodge,163760718,building,53.27665174074713,-9.061269783464223
B239,Gate Lodge,150786622,building,53.2817934361753,-9.038568800562704
