LA,RoadNumber,RoadClass
Cork City Council,L-50695,Local Tertiary
Cork City Council,L-50696,Local Tertiary
Cork City Council,L-50697,Local Tertiary
Cork City Council,L-50698,Local Tertiary
Cork City Council,L-50699,Local Tertiary
Cork City Council,L-5070,Local Secondary
Cork City Council,L-50701,Local Tertiary
Cork City Council,L-50702,Local Tertiary
Cork City Council,L-50703,Local Tertiary
Cork City Council,L-50705,Local Tertiary
Cork City Council,L-50709,Local Tertiary
Cork City Council,L-5071,Local Secondary
Cork City Council,L-50711,Local Tertiary
Cork City Council,L-50712,Local Tertiary
Cork City Council,L-50713,Local Tertiary
Cork City Council,L-50719,Local Tertiary
Cork City Council,L-5072,Local Secondary
Cork City Council,L-50721,Local Tertiary
Cork City Council,L-50722,Local Tertiary
Cork City Council,L-50723,Local Tertiary
Cork City Council,L-50725,Local Tertiary
Cork City Council,L-50726,Local Tertiary
Cork City Council,L-50727,Local Tertiary
Cork City Council,L-50728,Local Tertiary
Cork City Council,L-50729,Local Tertiary
Cork City Council,L-5073,Local Secondary
Cork City Council,L-50731,Local Tertiary
Cork City Council,L-50732,Local Tertiary
Cork City Council,L-50733,Local Tertiary
Cork City Council,L-50734,Local Tertiary
Cork City Council,L-50736,Local Tertiary
Cork City Council,L-50737,Local Tertiary
Cork City Council,L-5074,Local Secondary
Cork City Council,L-50742,Local Tertiary
Cork City Council,L-50743,Local Tertiary
Cork City Council,L-50746,Local Tertiary
Cork City Council,L-50751,Local Tertiary
Cork City Council,L-50752,Local Tertiary
Cork City Council,L-50753,Local Tertiary
Cork City Council,L-50754,Local Tertiary
Cork City Council,L-50755,Local Tertiary
Cork City Council,L-50756,Local Tertiary
Cork City Council,L-50757,Local Tertiary
Cork City Council,L-50758,Local Tertiary
Cork City Council,L-5076,Local Secondary
Cork City Council,L-50761,Local Tertiary
Cork City Council,L-50762,Local Tertiary
Cork City Council,L-50763,Local Tertiary
Cork City Council,L-50764,Local Tertiary
Cork City Council,L-50765,Local Tertiary
Cork City Council,L-50766,Local Tertiary
Cork City Council,L-50767,Local Tertiary
Cork City Council,L-50768,Local Tertiary
Cork City Council,L-50769,Local Tertiary
Cork City Council,L-5077,Local Secondary
Cork City Council,L-50771,Local Tertiary
Cork City Council,L-50772,Local Tertiary
Cork City Council,L-50773,Local Tertiary
Cork City Council,L-50774,Local Tertiary
Cork City Council,L-50777,Local Tertiary
Cork City Council,L-50778,Local Tertiary
Cork City Council,L-5078,Local Secondary
Cork City Council,L-50781,Local Tertiary
Cork City Council,L-50782,Local Tertiary
Cork City Council,L-50783,Local Tertiary
Cork City Council,L-50785,Local Tertiary
Cork City Council,L-5079,Local Secondary
Cork City Council,L-50791,Local Tertiary
Cork City Council,L-50794,Local Tertiary
Cork City Council,L-50795,Local Tertiary
Cork City Council,L-50796,Local Tertiary
Cork City Council,L-50797,Local Tertiary
Cork City Council,L-50798,Local Tertiary
Cork City Council,L-5080,Local Secondary
Cork City Council,L-50801,Local Tertiary
Cork City Council,L-50803,Local Tertiary
Cork City Council,L-50804,Local Tertiary
Cork City Council,L-50805,Local Tertiary
Cork City Council,L-50807,Local Tertiary
Cork City Council,L-5081,Local Secondary
Cork City Council,L-50811,Local Tertiary
Cork City Council,L-50812,Local Tertiary
Cork City Council,L-50813,Local Tertiary
Cork City Council,L-50814,Local Tertiary
Cork City Council,L-50816,Local Tertiary
Cork City Council,L-5082,Local Secondary
Cork City Council,L-50822,Local Tertiary
Cork City Council,L-50824,Local Tertiary
Cork City Council,L-50825,Local Tertiary
Cork City Council,L-50829,Local Tertiary
Cork City Council,L-5083,Local Secondary
Cork City Council,L-50832,Local Tertiary
Cork City Council,L-50833,Local Tertiary
Cork City Council,L-50838,Local Tertiary
Cork City Council,L-5084,Local Secondary
Cork City Council,L-50841,Local Tertiary
Cork City Council,L-50842,Local Tertiary
Cork City Council,L-50843,Local Tertiary
Cork City Council,L-50844,Local Tertiary
Cork City Council,L-50845,Local Tertiary
Cork City Council,L-50847,Local Tertiary
Cork City Council,L-50848,Local Tertiary
Cork City Council,L-50849,Local Tertiary
Cork City Council,L-5085,Local Secondary
Cork City Council,L-50852,Local Tertiary
Cork City Council,L-50853,Local Tertiary
Cork City Council,L-50854,Local Tertiary
Cork City Council,L-50855,Local Tertiary
Cork City Council,L-50856,Local Tertiary
Cork City Council,L-50857,Local Tertiary
Cork City Council,L-5086,Local Secondary
Cork City Council,L-50861,Local Tertiary
Cork City Council,L-50862,Local Tertiary
Cork City Council,L-50863,Local Tertiary
Cork City Council,L-50864,Local Tertiary
Cork City Council,L-50865,Local Tertiary
Cork City Council,L-50866,Local Tertiary
Cork City Council,L-50867,Local Tertiary
Cork City Council,L-50868,Local Tertiary
Cork City Council,L-50869,Local Tertiary
Cork City Council,L-5087,Local Secondary
Cork City Council,L-50871,Local Tertiary
Cork City Council,L-50872,Local Tertiary
Cork City Council,L-50873,Local Tertiary
Cork City Council,L-50874,Local Tertiary
Cork City Council,L-50875,Local Tertiary
Cork City Council,L-50876,Local Tertiary
Cork City Council,L-5088,Local Secondary
Cork City Council,L-50882,Local Tertiary
Cork City Council,L-50883,Local Tertiary
Cork City Council,L-50884,Local Tertiary
Cork City Council,L-50885,Local Tertiary
Cork City Council,L-50887,Local Tertiary
Cork City Council,L-5089,Local Secondary
Cork City Council,L-50891,Local Tertiary
Cork City Council,L-50892,Local Tertiary
Cork City Council,L-50893,Local Tertiary
Cork City Council,L-50894,Local Tertiary
Cork City Council,L-5090,Local Secondary
Cork City Council,L-50901,Local Tertiary
Cork City Council,L-50902,Local Tertiary
Cork City Council,L-50903,Local Tertiary
Cork City Council,L-50904,Local Tertiary
Cork City Council,L-50905,Local Tertiary
Cork City Council,L-5091,Local Secondary
Cork City Council,L-50911,Local Tertiary
Cork City Council,L-50912,Local Tertiary
Cork City Council,L-50913,Local Tertiary
Cork City Council,L-50914,Local Tertiary
Cork City Council,L-50915,Local Tertiary
Cork City Council,L-50916,Local Tertiary
Cork City Council,L-50917,Local Tertiary
Cork City Council,L-5092,Local Secondary
Cork City Council,L-5093,Local Secondary
Cork City Council,L-50931,Local Tertiary
Cork City Council,L-50932,Local Tertiary
Cork City Council,L-5094,Local Secondary
Cork City Council,L-50940,Local Tertiary
Cork City Council,L-50941,Local Tertiary
Cork City Council,L-50942,Local Tertiary
Cork City Council,L-50943,Local Tertiary
Cork City Council,L-50944,Local Tertiary
Cork City Council,L-50945,Local Tertiary
Cork City Council,L-50946,Local Tertiary
Cork City Council,L-50947,Local Tertiary
Cork City Council,L-50948,Local Tertiary
Cork City Council,L-50949,Local Tertiary
Cork City Council,L-5095,Local Secondary
Cork City Council,L-50951,Local Tertiary
Cork City Council,L-50952,Local Tertiary
Cork City Council,L-50953,Local Tertiary
Cork City Council,L-50957,Local Tertiary
Cork City Council,L-50958,Local Tertiary
Cork City Council,L-5096,Local Secondary
Cork City Council,L-50962,Local Tertiary
Cork City Council,L-50964,Local Tertiary
Cork City Council,L-50965,Local Tertiary
Cork City Council,L-50966,Local Tertiary
Cork City Council,L-50967,Local Tertiary
Cork City Council,L-50971,Local Tertiary
Cork City Council,L-50972,Local Tertiary
Cork City Council,L-5098,Local Secondary
Cork City Council,L-50981,Local Tertiary
Cork City Council,L-50982,Local Tertiary
Cork City Council,L-50984,Local Tertiary
Cork City Council,L-50985,Local Tertiary
Cork City Council,L-50986,Local Tertiary
Cork City Council,L-50987,Local Tertiary
Cork City Council,L-50988,Local Tertiary
Cork City Council,L-50989,Local Tertiary
Cork City Council,L-5099,Local Secondary
Cork City Council,L-50991,Local Tertiary
Cork City Council,L-50992,Local Tertiary
Cork City Council,L-50993,Local Tertiary
Cork City Council,L-50995,Local Tertiary
Cork City Council,L-50996,Local Tertiary
Cork City Council,L-50997,Local Tertiary
Cork City Council,L-5100,Local Secondary
Cork City Council,L-51001,Local Tertiary
Cork City Council,L-51002,Local Tertiary
Cork City Council,L-51003,Local Tertiary
Cork City Council,L-51005,Local Tertiary
Cork City Council,L-51006,Local Tertiary
Cork City Council,L-5101,Local Secondary
Cork City Council,L-51012,Local Tertiary
Cork City Council,L-51013,Local Tertiary
Cork City Council,L-51014,Local Tertiary
Cork City Council,L-5102,Local Secondary
Cork City Council,L-5103,Local Secondary
Cork City Council,L-51031,Local Tertiary
Cork City Council,L-51036,Local Tertiary
Cork City Council,L-51037,Local Tertiary
Cork City Council,L-51039,Local Tertiary
Cork City Council,L-5104,Local Secondary
Cork City Council,L-51041,Local Tertiary
Cork City Council,L-51042,Local Tertiary
Cork City Council,L-5105,Local Secondary
Cork City Council,L-51051,Local Tertiary
Cork City Council,L-51052,Local Tertiary
Cork City Council,L-51053,Local Tertiary
Cork City Council,L-51054,Local Tertiary
Cork City Council,L-51055,Local Tertiary
Cork City Council,L-51056,Local Tertiary
Cork City Council,L-51057,Local Tertiary
Cork City Council,L-51058,Local Tertiary
Cork City Council,L-51059,Local Tertiary
Cork City Council,L-5106,Local Secondary
Cork City Council,L-51061,Local Tertiary
Cork City Council,L-51062,Local Tertiary
Cork City Council,L-51063,Local Tertiary
Cork City Council,L-51064,Local Tertiary
Cork City Council,L-51065,Local Tertiary
Cork City Council,L-51067,Local Tertiary
Cork City Council,L-51069,Local Tertiary
Cork City Council,L-5107,Local Secondary
Cork City Council,L-51071,Local Tertiary
Cork City Council,L-51072,Local Tertiary
Cork City Council,L-51073,Local Tertiary
Cork City Council,L-51074,Local Tertiary
Cork City Council,L-51075,Local Tertiary
Cork City Council,L-51076,Local Tertiary
Cork City Council,L-51077,Local Tertiary
Cork City Council,L-51078,Local Tertiary
Cork City Council,L-51081,Local Tertiary
Cork City Council,L-51082,Local Tertiary
Cork City Council,L-51083,Local Tertiary
Cork City Council,L-51084,Local Tertiary
Cork City Council,L-51085,Local Tertiary
Cork City Council,L-51086,Local Tertiary
Cork City Council,L-51087,Local Tertiary
Cork City Council,L-51089,Local Tertiary
Cork City Council,L-5109,Local Secondary
Cork City Council,L-51090,Local Tertiary
Cork City Council,L-51101,Local Tertiary
Cork City Council,L-51102,Local Tertiary
Cork City Council,L-51103,Local Tertiary
Cork City Council,L-51104,Local Tertiary
Cork City Council,L-51105,Local Tertiary
Cork City Council,L-51106,Local Tertiary
Cork City Council,L-51107,Local Tertiary
Cork City Council,L-51108,Local Tertiary
Cork City Council,L-5111,Local Secondary
Cork City Council,L-51111,Local Tertiary
Cork City Council,L-51113,Local Tertiary
Cork City Council,L-51115,Local Tertiary
Cork City Council,L-51117,Local Tertiary
Cork City Council,L-51121,Local Tertiary
Cork City Council,L-5113,Local Secondary
Cork City Council,L-51132,Local Tertiary
Cork City Council,L-51133,Local Tertiary
Cork City Council,L-51134,Local Tertiary
Cork City Council,L-51135,Local Tertiary
Cork City Council,L-51136,Local Tertiary
Cork City Council,L-51137,Local Tertiary
Cork City Council,L-51138,Local Tertiary
Cork City Council,L-51139,Local Tertiary
Cork City Council,L-5114,Local Secondary
Cork City Council,L-5116,Local Secondary
Cork City Council,L-51161,Local Tertiary
Cork City Council,L-5117,Local Secondary
Cork City Council,L-5118,Local Secondary
Cork City Council,L-5119,Local Secondary
Cork City Council,L-5121,Local Secondary
Cork City Council,L-5122,Local Secondary
Cork City Council,L-5159,Local Secondary
Cork City Council,L-5164,Local Secondary
Cork City Council,L-5165,Local Secondary
Cork City Council,L-5169,Local Secondary
Cork City Council,L-5170,Local Secondary
Cork City Council,L-5172,Local Secondary
Cork City Council,L-5173,Local Secondary
Cork City Council,L-5174,Local Secondary
Cork City Council,L-5175,Local Secondary
Cork City Council,L-5179,Local Secondary
Cork City Council,L-51791,Local Tertiary
Cork City Council,L-5184,Local Secondary
Cork City Council,L-5185,Local Secondary
Cork City Council,L-5186,Local Secondary
Cork City Council,L-5190,Local Secondary
Cork City Council,L-5191,Local Secondary
Cork City Council,L-5193,Local Secondary
Cork City Council,L-5197,Local Secondary
Cork City Council,L-5198,Local Secondary
Cork City Council,L-5199,Local Secondary
Cork City Council,L-5200,Local Secondary
Cork City Council,L-5201,Local Secondary
Cork City Council,L-5203,Local Secondary
Cork City Council,L-5204,Local Secondary
Cork City Council,L-52041,Local Tertiary
Cork City Council,L-5206,Local Secondary
Cork City Council,L-5207,Local Secondary
Cork City Council,L-5208,Local Secondary
Cork City Council,L-5209,Local Secondary
Cork City Council,L-5211,Local Secondary
Cork City Council,L-5212,Local Secondary
Cork City Council,L-52121,Local Tertiary
Cork City Council,L-5213,Local Secondary
Cork City Council,L-5216,Local Secondary
Cork City Council,L-5220,Local Secondary
Cork City Council,L-5221,Local Secondary
Cork City Council,L-5223,Local Secondary
Cork City Council,L-5226,Local Secondary
Cork City Council,L-5229,Local Secondary
Cork City Council,L-5235,Local Secondary
Cork City Council,L-5238,Local Secondary
Cork City Council,L-52381,Local Tertiary
Cork City Council,L-5239,Local Secondary
Cork City Council,L-5241,Local Secondary
Cork City Council,L-5244,Local Secondary
Cork City Council,L-52441,Local Tertiary
Cork City Council,L-5245,Local Secondary
Cork City Council,L-5247,Local Secondary
Cork City Council,L-52471,Local Tertiary
Cork City Council,L-5248,Local Secondary
Cork City Council,L-5249,Local Secondary
Cork City Council,L-5251,Local Secondary
Cork City Council,L-5253,Local Secondary
Cork City Council,L-5254,Local Secondary
Cork City Council,L-5264,Local Secondary
Cork City Council,L-5265,Local Secondary
Cork City Council,L-5266,Local Secondary
Cork City Council,L-5268,Local Secondary
Cork City Council,L-5270,Local Secondary
Cork City Council,L-5271,Local Secondary
Cork City Council,L-5273,Local Secondary
Cork City Council,L-5274,Local Secondary
Cork City Council,L-5275,Local Secondary
Cork City Council,L-5276,Local Secondary
Cork City Council,L-5277,Local Secondary
Cork City Council,L-5278,Local Secondary
Cork City Council,L-5279,Local Secondary
Cork City Council,L-5280,Local Secondary
Cork City Council,L-5281,Local Secondary
Cork City Council,L-5283,Local Secondary
Cork City Council,L-5284,Local Secondary
Cork City Council,L-5285,Local Secondary
Cork City Council,L-5286,Local Secondary
Cork City Council,L-5287,Local Secondary
Cork City Council,L-5288,Local Secondary
Cork City Council,L-5289,Local Secondary
Cork City Council,L-5290,Local Secondary
Cork City Council,L-5291,Local Secondary
