LA,RoadNumber,RoadClass
Cork City Council,L-5025,Local Secondary
Cork City Council,L-50251,Local Tertiary
Cork City Council,L-5026,Local Secondary
Cork City Council,L-50261,Local Tertiary
Cork City Council,L-50266,Local Tertiary
Cork City Council,L-50267,Local Tertiary
Cork City Council,L-50268,Local Tertiary
Cork City Council,L-50269,Local Tertiary
Cork City Council,L-5027,Local Secondary
Cork City Council,L-50271,Local Tertiary
Cork City Council,L-50272,Local Tertiary
Cork City Council,L-50274,Local Tertiary
Cork City Council,L-5028,Local Secondary
Cork City Council,L-50281,Local Tertiary
Cork City Council,L-50282,Local Tertiary
Cork City Council,L-5029,Local Secondary
Cork City Council,L-50291,Local Tertiary
Cork City Council,L-5030,Local Secondary
Cork City Council,L-5031,Local Secondary
Cork City Council,L-5032,Local Secondary
Cork City Council,L-5033,Local Secondary
Cork City Council,L-5034,Local Secondary
Cork City Council,L-5035,Local Secondary
Cork City Council,L-50351,Local Tertiary
Cork City Council,L-50352,Local Tertiary
Cork City Council,L-50353,Local Tertiary
Cork City Council,L-50354,Local Tertiary
Cork City Council,L-50355,Local Tertiary
Cork City Council,L-50356,Local Tertiary
Cork City Council,L-50357,Local Tertiary
Cork City Council,L-5036,Local Secondary
Cork City Council,L-50361,Local Tertiary
Cork City Council,L-50362,Local Tertiary
Cork City Council,L-50363,Local Tertiary
Cork City Council,L-50364,Local Tertiary
Cork City Council,L-50365,Local Tertiary
Cork City Council,L-50366,Local Tertiary
Cork City Council,L-50367,Local Tertiary
Cork City Council,L-50369,Local Tertiary
Cork City Council,L-5037,Local Secondary
Cork City Council,L-50371,Local Tertiary
Cork City Council,L-50372,Local Tertiary
Cork City Council,L-50373,Local Tertiary
Cork City Council,L-50374,Local Tertiary
Cork City Council,L-50375,Local Tertiary
Cork City Council,L-50376,Local Tertiary
Cork City Council,L-50377,Local Tertiary
Cork City Council,L-50378,Local Tertiary
Cork City Council,L-50379,Local Tertiary
Cork City Council,L-5038,Local Secondary
Cork City Council,L-50380,Local Tertiary
Cork City Council,L-50381,Local Tertiary
Cork City Council,L-50382,Local Tertiary
