LA,RoadNumber,RoadClass
Louth County Council,R-172,Regional
Louth County Council,R-173,Regional
Louth County Council,R-174,Regional
Louth County Council,R-175,Regional
Louth County Council,R-176,Regional
Louth County Council,R-177,Regional
Louth County Council,R-178,Regional
Louth County Council,R-203,Regional
Louth County Council,R-211,Regional
Louth County Council,R-215,Regional
Louth County Council,R-899,Regional
Louth County Council,R-900,Regional
Louth County Council,R-934,Regional
Limerick County Council,R-445,Regional
Limerick County Council,R-463,Regional
Limerick County Council,R-464,Regional
Limerick County Council,R-466,Regional
Limerick County Council,R-503,Regional
Limerick County Council,R-505,Regional
Limerick County Council,R-506,Regional
Limerick County Council,R-507,Regional
Limerick County Council,R-509,Regional
Limerick County Council,R-510,Regional
Limerick County Council,R-511,Regional
Limerick County Council,R-512,Regional
Limerick County Council,R-513,Regional
Limerick County Council,R-514,Regional
Limerick County Council,R-515,Regional
Limerick County Council,R-516,Regional
Limerick County Council,R-517,Regional
Limerick County Council,R-518,Regional
Limerick County Council,R-519,Regional
Limerick County Council,R-520,Regional
Limerick County Council,R-521,Regional
Limerick County Council,R-522,Regional
Limerick County Council,R-523,Regional
Limerick County Council,R-524,Regional
Limerick County Council,R-525,Regional
Limerick County Council,R-526,Regional
Limerick County Council,R-527,Regional
Limerick County Council,R-555,Regional
Limerick County Council,R-576,Regional
Limerick County Council,R-579,Regional
Limerick County Council,R-639,Regional
Limerick County Council,R-662,Regional
Limerick County Council,R-663,Regional
Limerick County Council,R-857,Regional
Limerick County Council,R-858,Regional
Limerick County Council,R-859,Regional
Limerick County Council,R-926,Regional
Leitrim County Council,R-199,Regional
Leitrim County Council,R-200,Regional
Leitrim County Council,R-201,Regional
Leitrim County Council,R-202,Regional
Leitrim County Council,R-203,Regional
Leitrim County Council,R-204,Regional
Leitrim County Council,R-205,Regional
Leitrim County Council,R-207,Regional
Leitrim County Council,R-208,Regional
Leitrim County Council,R-209,Regional
Leitrim County Council,R-210,Regional
Leitrim County Council,R-278,Regional
Leitrim County Council,R-280,Regional
Leitrim County Council,R-281,Regional
Leitrim County Council,R-282,Regional
Leitrim County Council,R-283,Regional
Leitrim County Council,R-284,Regional
Leitrim County Council,R-286,Regional
Leitrim County Council,R-287,Regional
Leitrim County Council,R-288,Regional
Leitrim County Council,R-289,Regional
Leitrim County Council,R-299,Regional
Leitrim County Council,R-371,Regional
Leitrim County Council,R-903,Regional
Laois County Council,R-419,Regional
Laois County Council,R-420,Regional
Laois County Council,R-421,Regional
Laois County Council,R-422,Regional
Laois County Council,R-423,Regional
Laois County Council,R-424,Regional
Laois County Council,R-425,Regional
Laois County Council,R-426,Regional
Laois County Council,R-427,Regional
Laois County Council,R-428,Regional
