,route_long_name,g_trip_headsign,route_id,route_short_name,direction_id,variation_route_id,first_stop_id,last_stop_id,first_stop_name,last_stop_name,num_stops
BR100,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5233001,Scoil Éinde Boys NS,Monivea Park,38
BR101,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5233301,Scoil Éinde Boys NS,Castlepark Road,38
BR102,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5233601,Scoil Éinde Boys NS,Glenavon Drive,38
BR103,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5232101,Scoil Éinde Boys NS,Forster Court,38
BR104,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5222501,Scoil Éinde Boys NS,Devon Park,16
BR105,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B523201,Scoil Éinde Boys NS,Eyre Square East,16
BR106,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5222701,Scoil Éinde Boys NS,Lios Ealtan,16
BR107,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5222001,Scoil Éinde Boys NS,Ladies Beach,16
BR108,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5245001,Scoil Éinde Boys NS,Merchants Road,16
BR109,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5222901,Scoil Éinde Boys NS,Fr Griffin Road,16
BR110,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5228201,Seacrest,Merlin Park Hospital,42
BR111,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5227901,Seacrest,Dawn Dairies,42
